price_Item;restaurant_Id;ID;Name_Item;error
3030;382;2508;2006 COTES DU RHONE Domaine de Montvac;
1390;18;126;2007 ASSYRTIKO Santorini Sigalas;
1600;404;2647;2007 ASSYRTIKO Santorini Sigalas;
2880;235;1544;2007 ASSYRTIKO Santorini Sigalas;
1740;3;24;2007 SAUVIGNON BLANC Santa Ynez Valley Brander;
2680;369;2422;209- Pinot Grigio 1999, Peter Zemmer (Alto Adige);
2620;342;2241;209- Pinot Grigio 1999, Peter Zemmer (Alto Adige);
2970;48;299;212- Greco di Tufo 1999, Feudi di San Gregorio (Campania);
2230;57;366;213- Riesling 1999, Chateau Montelena (California);
2170;313;2060;28 Day Dry-Aged Ribeye - with a pickled fig-Rogue River blue cheese flan, baby bok choy, and whole grain mustard jus;
2360;201;1329;28 Day Dry-Aged Ribeye - with a pickled fig-Rogue River blue cheese flan, baby bok choy, and whole grain mustard jus;
2460;181;1212;641 Inniskillin Ice Wine 2001 Sparkling;
1970;247;1628;642 Inniskillin Pearl Label Ice Wine 2002;
1530;139;930;642 Inniskillin Pearl Label Ice Wine 2002;
1720;42;267;654 Kracher #1 Beerenauslese Cuvee 2002;
3480;279;1839;654 Kracher #1 Beerenauslese Cuvee 2002;
1930;113;761;660 Kracher #12 Trockenbeerenauslese 1995 Grand Cuvee;
1940;51;322;A glass from our GIANT bottle of Querciabella;
1360;375;2466;A glass from our GIANT bottle of Querciabella;
1110;366;2401;A Snifter of Marc with biscotti;
1500;110;733;A Snifter of Marc with biscotti;
3630;212;1390;A VEGETABLE BUFFET PLATTER IN THE MIDDLE EASTERN MANNER SERVED WITH PITA BREAD;
2930;400;2622;A VEGETABLE BUFFET PLATTER IN THE MIDDLE EASTERN MANNER SERVED WITH PITA BREAD;
1120;170;1141;After 10 pm- American Cheese Burger bacon, crispy onions & fries;
1920;81;520;After 10 pm- American Cheese Burger bacon, crispy onions & fries;
3100;38;244;Albarino, Morgadio, 1999. (Spain);
3010;24;161;Albarino, Morgadio, 1999. (Spain);
1730;6;39;Albarino, Morgadio, 1999. (Spain);
1840;203;1343;Aloxe-Corton l Er Cru, Les Valozieres, Antonin Rodet, 1996 (Burgundy);
2750;352;2314;Amarone Classico 1995, Allegrini (Veneto);
1710;8;57;Amarone Classico 1995, Allegrini (Veneto);
1440;267;1759;Amarone Tomassi 1979, Valpolicella;
2700;315;2077;American;
2800;96;627;AMERICAN CHEESE;
1110;108;719;AMERICANO;
1890;161;1077;AMERICANO;
2080;304;2004;AMERICANO;
2010;386;2529;AMERICANO;
1860;1;10;Angel Hair Primavera;
2840;239;1579;Angel Hair Primavera;
1690;391;2561;Angel Hair Primavera With chicken;
1910;3;26;Antipasti Fellinis CLAMS, MUSSELS, SQUID, SHRIMP, STUFFED MUSHROOMS & EGGPLANT ROLLANTINO;
2970;252;1660;Any Side Vegetable Salad;
2460;182;1217;Any Side Vegetable Salad;
2970;265;1746;Any Side Vegetable Salad;
2380;136;913;Any Side Vegetable Salad;
2240;368;2411;Apple Fruit Spritzer - Apple juice, club soda & a twist of lime;
2050;100;654;Apple Fruit Spritzer - Apple juice, club soda & a twist of lime;
2450;172;1149;Apple Fruit Spritzer - Apple juice, club soda & a twist of lime;
1300;109;729;Apple Fruit Spritzer - Apple juice, club soda & a twist of lime;
930;146;973;Apple Tart;
1940;43;275;Apple Tart;
1790;217;1426;Apple Tart;
2240;254;1675;Apple Wood Hot Smoked Salmon;
1220;50;318;Apple Zinger - apple juice & iced herbal tea;
1580;35;232;Apples;
1720;106;705;Apples;
2030;235;1545;Apricot Wine w/ soda & fruit garnish;
2090;256;1691;Apricot Wine w/ soda & fruit garnish;
1980;16;110;Apricots;
1640;257;1693;Arctic Char;
3420;287;1896;Arctic Char;
2240;319;2098;Arctic Char;
2550;166;1112;Artic Char Tartare- with basil and trout caviar;
2310;270;1783;ARUGOLA WITH A LEMON-OLIVE OIL DRESSING AND PARMESAN SHAVINGS;
2060;11;74;ARUGOLA WITH A LEMON-OLIVE OIL DRESSING AND PARMESAN SHAVINGS;
1510;130;873;Arugula Salad chopped tomato, fennel, shaved parmigiano;
2490;22;153;Arugula Salad chopped tomato, fennel, shaved parmigiano;
2970;210;1383;Asbach Uralt;
3050;101;667;Asian Chicken Salad;
3740;393;2577;Asian Chicken Salad;
3180;349;2296;Asian Chicken Salad;
3220;24;163;Asian Chicken Salad:  Poached Chicken, Water Cress, Red Onion, Scallions & Snow Peas over a Crisp Garden Salad ... 5.95;
1780;44;279;Asparagus salad with aromatic herbs and egg dressing;
2210;57;368;Asparagus salad with aromatic herbs and egg dressing;
1550;305;2012;Asparagus salad with aromatic herbs and egg dressing;
3090;354;2327;ASPARAGUS-STILTON OMELETTE;
2540;183;1222;Assiette de Fromages:  Selection of cheeses of the day;
2390;204;1348;Assorted cakes;
2710;158;1061;Assorted cakes;
2370;169;1135;Assorted Dinner. Shrimp, Scallops & three cuts of Fish;
820;51;325;Assorted Fruit Topped Danish ...1.60;
2060;111;744;Assorted Fruit Topped Danish ...1.60;
1570;123;834;ASSORTED ITALIAN SAUSAGES & POLENTA tomato & parmigiano gratine;
2860;86;560;Assorted Smoked Salmon & Shrimp;
1640;6;45;Assorted Smoked Salmon & Shrimp;
2840;43;272;Atlantic Oysters;
3340;162;1082;Avocado Stuffed with Crabmeat;
2270;101;663;Avocado Stuffed with Crabmeat;
2370;307;2022;Avocado Stuffed with Crabmeat;
3490;349;2295;Avocado Stuffed with Crabmeat;
2200;226;1484;Avocado Stuffed with Crabmeat;
2822;260;1711;Avocat aux Crevettes avocado and shrimp salad with tarragon mayonnaise;
1280;367;2405;Avocat aux Crevettes avocado and shrimp salad with tarragon mayonnaise;
3350;338;2220;Babich 1997, New Zealand;
1090;10;73;Baby Back Pork Ribs;
3000;232;1527;Baby Back Pork Ribs;
880;63;402;Baby Back Pork Ribs;
2280;236;1554;Baby Shrimp w. Bean Sprouts;
2560;356;2340;Baby Shrimp w. Bean Sprouts;
2170;214;1407;Baby Shrimp w. Bean Sprouts;
2800;180;1205;Baby Shrimp w. Cashew Nuts;
2020;207;1360;BACON AND CHEESE OMLETTE;
1920;289;1912;BACON AND CHEESE OMLETTE;
1810;336;2209;Bacon Cheeseburger;
2810;184;1235;BACON SAGE RUBBED ROCKY CHICKEN BREAST IN FRENCH PASTRY CITRUS CRACKED PEPPER CREAM AND LEEKS;
2930;209;1376;Bacon sage rubbed Rocky chicken breast in french pastry citrus cracked pepper cream and leeks.  Twenty Six;
1100;37;241;Bagels, Challa Roll, Bialy or Sweet Onion Roll ... .75/ With Butter ... ..75/Cream Cheese, Veggie or Scallion...1.50/Salmon or Fat Free Cream Cheese...1.95;
1960;83;541;Baked Idaho Potato;
2780;58;374;Baked Potato;
3320;54;345;Baked Potato;
1750;368;2412;Baked Stuffed Lobster with buttery Crabmeat Stuffing;
2950;217;1423;Baked Stuffed Lobster with buttery Crabmeat Stuffing;
2530;16;109;Baked Stuffed Lobster with buttery Crabmeat Stuffing;
1970;116;782;Baked Stuffed Shrimp. Baked with a buttery Crabmeat Stuffing...choice of one Side;
2810;218;1430;Baklava;
1560;58;370;Baklava;
2990;364;2383;Baklava;
3110;279;1841;Ballantines;
1890;141;943;Balthazar Salad with haricots verts, asparagus, fennel, ricotta salata and truffle vinaigrette;
3020;325;2138;Balthazar Salad with haricots verts, asparagus, fennel, ricotta salata and truffle vinaigrette;
1940;52;335;Bamboo Steamed Vegetables;
2410;186;1244;Bamboo Steamed Vegetables;
1000;60;385;Banana Pie;
1830;91;589;Banana Pie. Banana with Non-Dairy Yogurt/Shredded Almond;
1970;74;475;Banana Pie. Banana with Non-Dairy Yogurt/Shredded Almond;
1580;3;25;Banana Pie. Banana with Non-Dairy Yogurt/Shredded Almond;
1980;136;908;Bananas;
2330;278;1830;Bananas;
3330;322;2119;Bandol Blanc, Pibarnon, 1998 (Provence);
2780;28;181;Bandol Blanc, Pibarnon, 1998 (Provence);
1750;206;1359;Banoffee;
1350;9;66;Banoffee;
2070;82;531;Banoffee;
2040;417;2738;Barbecue Chicken Grill Sandwich;
2960;400;2623;Barbecue Chicken Grill Sandwich;
1940;71;455;Barbera DAsti, Camp Du Rouss, Coppo, 1997. (Piedmont);
2070;242;1594;Barbera DAsti, Camp Du Rouss, Coppo, 1997. (Piedmont);
3250;317;2086;Barolo Rocche dei Manzoni 1993 DOCG (Piedmont);
1790;161;1080;Barolo Rocche dei Manzoni 1993 DOCG (Piedmont);
3000;41;259;Barolo Rocche dei Manzoni 1993 DOCG (Piedmont);
2680;145;968;Barolo Vigna Gattera, Gianfranco Bovio 1990 DOCG (Piedmont);
3410;423;2780;Barolo Vigna Gattera, Gianfranco Bovio 1990 DOCG (Piedmont);
2080;230;1509;Barolo, Sigillo dAbate Rsv, 1991;
2060;114;771;Barolo, Sigillo dAbate Rsv, 1991;
1670;49;310;Barolo, Sigillo dAbate Rsv, 1991;
2090;188;1252;BASILED VEGETARIAN HAM Vegi-Ham (Soy Protein) Low-Cal Conjex, Fresh Soy Bean, Black Mushrooms in a Basil Sauce (Taro Spring Roll, Brown Rice);
1410;248;1634;Bean Curd w. Hot Sauce (meat);
1950;299;1976;Bean Curd w. Hot Sauce (meat);
2980;324;2133;Bean Curd w. Hot Sauce (meat);
1400;241;1593;Bean Curd w. Hot Sauce (meat);
3310;296;1953;Bean Curd w. Hot Sauce (meat);
1650;402;2635;Bearboat 1995, Russian River;
2320;187;1247;Beau Soleil Oysters with Mignonette;
1040;126;848;Beaujolais Brouilly, Chateau de la Chaize 1996 (Burgundy);
2510;200;1326;Beaujolais Brouilly, Chateau de la Chaize 1996 (Burgundy);
1810;33;219;Beaujolais Brouilly, Chateau de la Chaize 1996 (Burgundy);
2230;184;1229;Beef and Mushroom Pappardelle;
2190;209;1378;Beef and Mushroom Pappardelle;
2410;9;59;Beef Chop Suey;
1540;179;1194;Beef Chop Suey;
1840;175;1167;Beef Chow Fun;
2810;421;2767;Beef Egg Foo Young;
3320;376;2469;Beef Egg Foo Young;
2720;149;1000;Beef Fried Rice;
3250;315;2074;Beef Fried Rice;
2100;57;362;Beef Fried Rice;
1950;282;1861;Beef Fried Rice;
2990;268;1765;Beef Lo Mein;
2720;29;192;Beef Mai Fun;
2500;1;6;Beef Mai Fun;
1960;350;2304;Beef w. Broccoli;
1010;67;432;Beef w. Broccoli;
3460;252;1661;Beef w. Broccoli in Garlic Sauce;
2390;298;1967;Beef w. Broccoli in Garlic Sauce;
2790;149;998;Beef w. Brococli;
1340;51;328;Beef w. Curry Sauce;
1560;400;2619;Beef w. Curry Sauce;
3320;45;285;Beef w. Eggplant;
1150;346;2272;Beef w. Eggplant;
2950;159;1065;Beef w. Eggplant;
1630;313;2064;Beef w. Garlic Sauce;
1940;148;991;Beef w. Mushrooms;
1660;248;1635;Beef w. Mushrooms;
960;375;2467;Beef w. Mushrooms;
3130;297;1961;Beef w. Pepper & Tomatoes;
1480;213;1396;Beef w. Pepper & Tomatoes;
